Customer ID,State,City,Zip Code,Latitude,Longitude
4299-OPXEJ,California,Inglewood,90301,33.956445,-118.358634
4656-CAURT,California,Phillipsville,95559,40.184094,-123.745487
5285-MVEHD,California,Sunnyvale,94087,37.3511,-122.037311
7481-ATQQS,California,Boulder Creek,95006,37.171727,-122.142961
1707-HABPF,California,Santa Barbara,93103,34.438581,-119.685368
3643-AHCFP,California,Selma,93662,36.545322,-119.642281
0549-CYCQN,California,Flournoy,96029,39.84784,-122.544556
2320-SLKMB,California,Baker,92309,35.28952,-116.092214
4422-QVIJA,California,Los Angeles,90035,34.051809,-118.383843
1925-GMVBW,California,Oroville,95965,39.624561,-121.552866
8969-PRHFK,California,Red Bluff,96080,40.186772,-122.388361
8019-ENHXU,California,Oakland,94601,37.776523,-122.219268
6319-QSUSR,California,Oceanside,92056,33.194742,-117.29032
4176-FXYBO,California,Whittier,90603,33.945318,-117.992066
6289-CPNLD,California,Temecula,92591,33.540604,-117.10909
4884-TVUQF,California,Occidental,95465,38.415003,-122.998726
7916-VCCPB,California,Parker Dam,92267,34.273872,-114.192901
6551-GNYDG,California,Long Beach,90808,33.823943,-118.111335
0230-WEQUW,California,Woodland Hills,91364,34.153733,-118.593408
7577-SWIFR,California,Glendale,91206,34.162515,-118.203869
2521-NPUZR,California,Santa Maria,93458,34.95934,-120.490081
7328-ZJAJO,California,Santa Rosa,95409,38.468893,-122.580539
0114-IGABW,California,Cambria,93428,35.591387,-121.032256
5296-PSYVW,California,Oceanside,92054,33.351059,-117.420557
4310-KEDTB,California,Yuba City,95993,39.075694,-121.70606
5968-HYJRZ,California,Kerman,93630,36.727418,-120.123526
1843-TLSGD,California,Standish,96128,40.346634,-120.386422
2692-PFYTJ,California,Hercules,94547,37.991259,-122.214945
9762-YAQAA,California,Seal Beach,90740,33.75462,-118.071128
4854-SSLTN,California,Torrance,90502,33.833181,-118.292062
9944-AEXBM,California,Casmalia,93429,34.866032,-120.536546
1775-KWJKQ,California,Santa Barbara,93105,34.037342,-119.80079
3707-LRWZD,California,Oakland,94611,37.828416,-122.216005
8640-SDGKB,California,Los Angeles,90066,34.002028,-118.430656
1952-DVVSW,California,Colfax,95713,39.084645,-120.894014
6313-GIDIT,California,Point Arena,95468,38.911299,-123.609588
1928-BXYIV,California,Placerville,95667,38.733714,-120.795213
0618-XWMSS,California,Wasco,93280,35.652242,-119.4464
9027-YFHQJ,California,San Francisco,94112,37.720498,-122.443119
4598-ZADCK,California,Hopland,95449,38.93706,-123.118111
0637-YLETY,California,Douglas City,96024,40.586588,-122.903677
8561-NMTBD,California,Lawndale,90260,33.88856,-118.351813
4883-QICIH,California,Bodega Bay,94923,38.377165,-123.037957
0697-ZMSWS,California,Los Angeles,90023,34.017697,-118.200577
8859-YSTWS,California,Port Hueneme,93041,34.110124,-119.100972
2400-FEQME,California,Grenada,96038,41.599978,-122.539381
7811-JIVPF,California,Long Beach,90805,33.864622,-118.179626
3489-HHPFY,California,Amboy,92304,34.559882,-115.637164
4686-GEFRM,California,Pioneertown,92268,34.201108,-116.593456
4452-QIIEB,California,Glendora,91740,34.119363,-117.855059
9445-SZLCH,California,Santa Clara,95050,37.351214,-121.952417
3768-NLUBH,California,Torrance,90503,33.840399,-118.353714
3701-SFMUH,California,Trabuco Canyon,92679,33.631119,-117.567346
9846-GKXAS,California,Burlingame,94010,37.57028,-122.365778
9206-GVPEQ,California,Fresno,93706,36.654614,-119.903674
6100-QQHEB,California,San Jose,95121,37.304681,-121.809955
1450-GALXR,California,Friant,93626,37.027663,-119.69056
1291-CUOCY,California,Yorkville,95494,38.888351,-123.239647
6394-HHHZM,California,Little River,95456,39.245911,-123.77214
0067-DKWBL,California,San Diego,92129,32.961064,-117.134917
4521-WFJAI,California,Sacramento,95825,38.590035,-121.412455
7395-IGJOS,California,Quincy,95971,39.971228,-121.041166
9777-WJJPR,California,Sacramento,95842,38.687367,-121.34848
8474-UMLNT,California,Fresno,93710,36.822715,-119.761826
8847-GEOOQ,California,Fontana,92337,34.049671,-117.468896
7421-ZLUPA,California,Hanford,93230,36.29223,-119.622676
7521-YXVZY,California,Placerville,95667,38.733714,-120.795213
3391-JSQEW,California,San Jose,95110,37.34667,-121.910019
1335-NTIUC,California,Pacoima,91331,34.255442,-118.421314
2296-DKZFP,California,San Francisco,94118,37.781304,-122.461522
7776-QGYJC,California,Shasta Lake,96019,40.692523,-122.369876
9646-NMHXE,California,San Geronimo,94963,38.00474,-122.663717
3398-GCPMU,California,Fullerton,92833,33.877639,-117.961212
8364-TRMMK,California,San Jose,95132,37.424655,-121.74841
5039-LZRQT,California,Mountain Center,92561,33.638645,-116.55783
7878-RTCZG,California,Inglewood,90302,33.975332,-118.355252
7245-JMTTQ,California,Baldwin Park,91706,34.098275,-117.967399
8387-MOJJT,California,Nubieber,96068,41.082472,-121.195215
7717-BICXI,California,O Neals,93645,37.140104,-119.657092
2826-UWHIS,California,Sequoia National Park,93262,36.527243,-118.594938
3097-IDVPU,California,Los Angeles,90012,34.065875,-118.238728
8212-DJRCH,California,Newbury Park,91320,34.172071,-118.946262
1705-GUHPV,California,Los Angeles,90056,33.987945,-118.370442
2121-JAFOM,California,Danville,94526,37.815459,-121.977203
4110-PFEUZ,California,Daggett,92327,34.875144,-116.821698
2961-VNFKL,California,Mountain View,94041,37.388349,-122.075299
6992-TKNYO,California,Richmond,94804,37.921034,-122.341798
4817-VYYWS,California,Silverado,92676,33.782346,-117.635263
1565-RHDJD,California,Palo Cedro,96073,40.582399,-122.195512
8199-ZLLSA,California,Tujunga,91042,34.296574,-118.244839
9844-FELAJ,California,Sacramento,95833,38.619049,-121.517552
6096-EGVTU,California,San Jose,95120,37.186141,-121.843554
8725-JEDFD,California,Calabasas,91302,34.130861,-118.68346
