Customer ID,Satisfaction Score,Customer Status,Churn Value,Churn Category,Churn Reason
3910-MRQOY,3,Stayed,0,,
0975-VOOVL,4,Joined,0,,
3146-JTQHR,5,Stayed,0,,
7767-UXAGJ,3,Churned,1,Competitor,Competitor made better offer
5849-ASHZJ,3,Stayed,0,,
1193-RTSLK,1,Churned,1,Competitor,Competitor offered higher download speeds
1915-OAKWD,3,Stayed,0,,
4782-OSFXZ,3,Stayed,0,,
9650-VBUOG,3,Stayed,0,,
6776-TLWOI,1,Churned,1,Price,Price too high
2167-FQSTQ,3,Stayed,0,,
6233-HXJMX,3,Stayed,0,,
6479-SZPLM,5,Stayed,0,,
9822-BIIGN,4,Stayed,0,,
7998-ZLXWN,4,Stayed,0,,
8640-SDGKB,2,Churned,1,Attitude,Attitude of support person
8375-DKEBR,1,Churned,1,Competitor,Competitor had better devices
4670-TABXH,3,Stayed,0,,
7073-QETQY,5,Stayed,0,,
6711-VTNRE,1,Churned,1,Competitor,Competitor had better devices
6128-CZOMY,2,Churned,1,Competitor,Competitor offered higher download speeds
3642-BYHDO,4,Stayed,0,,
1265-ZFOSD,4,Stayed,0,,
6941-PMGEP,3,Churned,1,Competitor,Competitor made better offer
7551-DACSP,2,Churned,1,Competitor,Competitor made better offer
2460-FPSYH,1,Churned,1,Attitude,Attitude of support person
2005-DWQZJ,3,Stayed,0,,
1104-FEJAM,3,Stayed,0,,
2362-IBOOY,3,Churned,1,Competitor,Competitor made better offer
9347-AERRL,5,Stayed,0,,
6855-VLGOS,5,Stayed,0,,
6765-MBQNU,5,Stayed,0,,
2577-GVSIL,4,Stayed,0,,
8390-FESFV,4,Stayed,0,,
9588-YRFHY,3,Stayed,0,,
6370-ZVHDV,4,Stayed,0,,
9415-TPKRV,4,Stayed,0,,
6292-TOSSS,4,Stayed,0,,
8317-BVKSO,5,Stayed,0,,
7967-HYCDE,5,Stayed,0,,
4360-PNRQB,5,Stayed,0,,
8590-YFFQO,3,Stayed,0,,
1730-VFMWO,5,Stayed,0,,
9964-WBQDJ,5,Stayed,0,,
9919-YLNNG,4,Stayed,0,,
0486-HECZI,1,Churned,1,Price,Long distance charges
3329-WDIOK,1,Churned,1,Dissatisfaction,Poor expertise of online support
1038-RQOST,3,Stayed,0,,
3771-PZOBW,4,Stayed,0,,
8232-CTLKO,3,Stayed,0,,
9294-TDIPC,5,Stayed,0,,
4338-EYCER,3,Stayed,0,,
6339-TBELP,5,Stayed,0,,
0229-LFJAF,5,Stayed,0,,
5999-LCXAO,4,Joined,0,,
0626-QXNGV,5,Stayed,0,,
8917-SZTTJ,5,Stayed,0,,
7853-OETYL,3,Stayed,0,,
2845-HSJCY,2,Churned,1,Competitor,Competitor made better offer
2368-GAKKQ,4,Stayed,0,,
2371-JUNGC,4,Stayed,0,,
2037-XJFUP,2,Churned,1,Competitor,Competitor made better offer
3186-AJIEK,4,Stayed,0,,
4619-EVPHY,5,Stayed,0,,
4654-GGUII,4,Stayed,0,,
1480-IVEVR,3,Stayed,0,,
7134-HBPBS,5,Stayed,0,,
2542-HYGIQ,5,Joined,0,,
8851-RAGOV,4,Stayed,0,,
8659-HDIYE,4,Stayed,0,,
5835-BEQEU,2,Churned,1,Competitor,Competitor made better offer
6300-BWMJX,3,Stayed,0,,
0811-GSDTP,5,Stayed,0,,
3768-NLUBH,1,Churned,1,Dissatisfaction,Network reliability
3799-ISUZQ,2,Churned,1,Dissatisfaction,Poor expertise of online support
6260-XLACS,3,Stayed,0,,
9025-AOMKI,2,Churned,1,Other,Moved
2229-DPMBI,5,Stayed,0,,
7812-FZHPE,1,Churned,1,Price,Long distance charges
7916-VCCPB,3,Stayed,0,,
8058-DMYRU,5,Stayed,0,,
4283-IVYCI,3,Stayed,0,,
6786-OBWQR,5,Stayed,0,,
6253-WRFHY,3,Stayed,0,,
6745-JEFZB,4,Stayed,0,,
5729-KLZAR,1,Churned,1,Competitor,Competitor had better devices
9972-NKTFD,5,Stayed,0,,
8949-JTMAY,1,Churned,1,Competitor,Competitor had better devices
2486-WYVVE,5,Stayed,0,,
5261-QSHQM,1,Churned,1,Competitor,Competitor made better offer
5115-SQAAU,4,Stayed,0,,
3765-JXVKY,1,Churned,1,Competitor,Competitor offered more data
1956-YIFGE,4,Stayed,0,,
8840-DQLGN,1,Churned,1,Attitude,Attitude of support person
1910-FMXJM,3,Stayed,0,,
1545-JFUML,3,Stayed,0,,
8849-AYPTR,5,Stayed,0,,
7605-SNLQG,4,Stayed,0,,
2346-LOCWC,4,Stayed,0,,
6212-ATMLK,4,Stayed,0,,
5175-WLYXL,5,Stayed,0,,
1336-EZFZY,4,Stayed,0,,
9138-EFSMO,3,Stayed,0,,
4402-FTBXC,3,Stayed,0,,
0520-FDVVT,3,Churned,1,Price,Price too high
5220-AGAAX,4,Stayed,0,,
6048-QBXKL,4,Joined,0,,
8111-RKSPX,2,Churned,1,Dissatisfaction,Service dissatisfaction
0461-CVKMU,1,Churned,1,Attitude,Attitude of support person
8097-VBQTZ,4,Stayed,0,,
8577-QSOCG,4,Stayed,0,,
5451-MHQOF,3,Stayed,0,,
6194-HBGQN,4,Stayed,0,,
8550-XSXUQ,4,Stayed,0,,
0345-XMMUG,5,Stayed,0,,
3049-SOLAY,1,Churned,1,Competitor,Competitor made better offer
7774-OJSXI,3,Churned,1,Dissatisfaction,Poor expertise of phone support
0536-ESJEP,4,Stayed,0,,
4741-WWJQZ,3,Joined,0,,
7020-OZKXZ,3,Stayed,0,,
7426-WEIJX,4,Stayed,0,,
2521-NPUZR,3,Stayed,0,,
1029-QFBEN,2,Churned,1,Competitor,Competitor made better offer
0971-QIFJK,3,Stayed,0,,
5832-TRLPB,3,Stayed,0,,
0237-YFUTL,3,Stayed,0,,
5296-PSYVW,4,Stayed,0,,
0516-UXRMT,3,Stayed,0,,
1307-ATKGB,5,Stayed,0,,
9993-LHIEB,3,Stayed,0,,
0486-LGCCH,3,Stayed,0,,
3566-VVORZ,3,Stayed,0,,
9661-ACXBS,1,Churned,1,Competitor,Competitor made better offer
0388-EOPEX,1,Churned,1,Attitude,Attitude of support person
0757-WCUUZ,3,Stayed,0,,
3393-FMZPV,1,Churned,1,Price,Extra data charges
6595-COKXZ,3,Churned,1,Attitude,Attitude of service provider
8809-XKHMD,5,Stayed,0,,
0667-NSRGI,4,Stayed,0,,
8908-NMQTX,3,Stayed,0,,
8565-CLBZW,3,Churned,1,Competitor,Competitor made better offer
4043-MKDTV,5,Stayed,0,,
6655-LHBYW,3,Stayed,0,,
0611-DFXKO,2,Churned,1,Dissatisfaction,Service dissatisfaction
2265-CYWIV,1,Churned,1,Dissatisfaction,Network reliability
0877-SDMBN,3,Churned,1,Competitor,Competitor made better offer
8007-YYPWD,5,Stayed,0,,
2150-OEGBV,5,Stayed,0,,
4254-QPEDE,4,Stayed,0,,
7196-LIWRH,5,Stayed,0,,
4299-OPXEJ,5,Stayed,0,,
3961-SXAXY,5,Joined,0,,
9968-FFVVH,3,Stayed,0,,
4833-QTJNO,3,Stayed,0,,
8999-EXMNO,3,Stayed,0,,
1848-LBZHY,3,Stayed,0,,
4318-RAJVY,3,Stayed,0,,
1178-PZGAB,4,Stayed,0,,
8100-HZZLJ,3,Stayed,0,,
2495-INZWQ,2,Churned,1,Attitude,Attitude of service provider
1832-PEUTS,4,Stayed,0,,
2469-DTSGX,5,Stayed,0,,
4182-BGSIQ,3,Stayed,0,,
6257-DTAYD,4,Stayed,0,,
2626-URJFX,3,Churned,1,Dissatisfaction,Network reliability
5968-XQIVE,3,Stayed,0,,
1972-XMUWV,5,Stayed,0,,
5018-GWURO,4,Stayed,0,,
0303-WMMRN,3,Stayed,0,,
0788-DXBFY,3,Stayed,0,,
4626-OZDTJ,5,Stayed,0,,
3424-NMNBO,1,Churned,1,Competitor,Competitor made better offer
9931-KGHOA,3,Stayed,0,,
2924-KHUVI,3,Stayed,0,,
5802-ADBRC,3,Stayed,0,,
1273-MTETI,3,Churned,1,Other,Don't know
6927-WTFIV,2,Churned,1,Attitude,Attitude of service provider
9906-NHHVC,3,Stayed,0,,
8845-LWKGE,5,Stayed,0,,
7351-KYHQH,4,Stayed,0,,
6705-LNMDD,3,Stayed,0,,
5294-IMHHT,3,Stayed,0,,
4625-LAMOB,5,Stayed,0,,
2208-UGTGR,3,Stayed,0,,
6770-XUAGN,2,Churned,1,Attitude,Attitude of support person
8331-ZXFOE,3,Stayed,0,,
6999-CHVCF,3,Stayed,0,,
4135-FRWKJ,3,Stayed,0,,
9289-LBQVU,4,Stayed,0,,
3737-XBQDD,4,Stayed,0,,
4482-FTFFX,4,Stayed,0,,
3572-UUHRS,4,Stayed,0,,
2568-OIADY,1,Churned,1,Competitor,Competitor made better offer
3230-JCNZS,3,Stayed,0,,
0042-JVWOJ,4,Stayed,0,,
0107-YHINA,1,Churned,1,Competitor,Competitor had better devices
1036-GUDCL,4,Stayed,0,,
5977-CKHON,3,Stayed,0,,
0195-IESCP,3,Churned,1,Competitor,Competitor offered more data
4560-WQAQW,3,Stayed,0,,
0804-YGEQV,4,Stayed,0,,
2273-QCKXA,3,Joined,0,,
0212-ISBBF,3,Stayed,0,,
9142-KZXOP,3,Stayed,0,,
3916-NRPAP,5,Joined,0,,
5527-ACHSO,3,Stayed,0,,
1265-HVPZB,3,Stayed,0,,
2187-PKZAY,5,Stayed,0,,
9722-UJOJR,1,Churned,1,Price,Price too high
1960-UYCNN,3,Stayed,0,,
0689-NKYLF,2,Churned,1,Attitude,Attitude of support person
2558-BUOZZ,4,Stayed,0,,
5884-FBCTL,4,Stayed,0,,
8929-KSWIH,4,Stayed,0,,
1415-YFWLT,1,Churned,1,Competitor,Competitor had better devices
8100-PNJMH,4,Stayed,0,,
9330-IJWIO,1,Churned,1,Price,Price too high
2393-DIVAI,3,Joined,0,,
